Pais_de_residencia;Via_de_acceso;Tipo_de_alojamiento;Forma_de_organizacion_del_viaje;Duracion_del_viaje;Motivo_del_viaje;Comunidad autonoma de destino;Periodo;Total
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M10;7649860
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M09;8932308
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M08;10175761
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M07;10020246
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M06;8554306
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M05;8086048
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M04;6780378
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M03;5393186
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M02;4218047
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M01;4106601
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M12;3982530
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M11;4392575
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M10;7269931
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M09;8877270
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M08;10397745
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M07;10493438
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M06;8431975
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M05;8002648
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M04;7081594
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M03;4913943
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M02;4119137
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M01;3905736
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M12;3990446
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M11;4098262
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M10;7137723
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M09;7932607
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M08;10027471
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M07;9545792
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M06;7552758
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M05;7111154
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M04;6086327
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M03;4627206
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M02;3678726
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M01;3526537
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2015M12;3512914
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2015M11;3754802
Total pais de residencia;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2015M10;6432341
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2020M03;277862
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2020M02;542495
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2020M01;493711
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M12;497204
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M11;572891
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M10;1126823
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M09;1266122
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M08;1126823
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M07;1242766
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M06;1307451
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M05;1077476
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M04;1081555
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M03;809144
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M02;548064
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M01;517785
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M12;537026
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M11;575223
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M10;1229193
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M09;1363598
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M08;1261896
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M07;1281415
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M06;1206593
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M05;1180827
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M04;917613
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M03;823232
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M02;536034
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M01;502305
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M12;481391
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M11;592676
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M10;1223097
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M09;1404947
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M08;1341709
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M07;1385774
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M06;1419474
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M05;1190326
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M04;1138904
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M03;718709
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M02;518185
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M01;482184
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M12;456142
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M11;545434
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M10;1280465
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M09;1292163
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M08;1366503
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M07;1296255
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M06;1222455
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M05;1192192
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M04;866532
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M03;737620
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M02;483878
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M01;469017
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2015M12;401150
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2015M11;510192
Alemania;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2015M10;1067611
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2020M03;65970
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2020M02;132630
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2020M01;118988
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M12;129533
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M11;139900
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M10;184806
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M09;270650
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M08;305769
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M07;388973
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M06;246277
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M05;205384
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M04;244403
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M03;178684
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M02;122700
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M01;120461
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M12;115299
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M11;138519
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M10;196418
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M09;258322
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M08;298838
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M07;397051
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M06;226520
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M05;213616
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M04;249303
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M03;156116
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M02;123761
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M01;131383
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M12;122783
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M11;132832
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M10;197532
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M09;281477
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M08;301614
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M07;422876
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M06;206755
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M05;229497
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M04;218630
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M03;137961
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M02;112805
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2017M01;109958
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M12;102695
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M11;128386
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M10;170744
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M09;216837
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M08;315018
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M07;417082
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M06;199187
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M05;201928
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M04;174938
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M03;148582
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M02;116367
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2016M01;109863
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2015M12;103653
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2015M11;121438
Belgica;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2015M10;156458
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2020M03;36506
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2020M02;100305
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2020M01;70577
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M12;66646
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M11;78967
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M10;133502
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M09;114695
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M08;105753
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M07;162382
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M06;99343
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M05;91493
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M04;109304
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M03;95717
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M02;78615
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2019M01;68249
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M12;61659
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M11;74923
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M10;148525
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M09;117818
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M08;107138
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M07;206631
Dinamarca;Total de vias de acceso;Total de tipos de alojamiento;Total de formas de organizacion del viaje;Total noches;Total de motivos del viaje;Total nacional;2018M06;117231
